#gene_list: list_Tnochange.txt#RNAstr.filter: S|minL|maxL : 0|6|1000
#OVERLAPfilter: gene|feat|cover. : 1|0|1
#Noverlap_genes/Nmapped_genes/Nlist_genes: 122/150/150
#NoverlapRNAcoords/RNAunique_coords/TOT_RNAs: 432/86258/86535
#
#LOCUS	type	chr	start	stop	strand/S	L	TOT_RNAcoords
vf_5_30237	RNA	5	16785361	16785380	337	19	-
AT5G42520.1	protein_coding_gene	5	17000259	17002607	+	2349	6
vf_5_31894	RNA	5	17001496	17001515	174	19	-
vf_5_31904	RNA	5	17002146	17002156	273	10	-
vf_5_31905	RNA	5	17002188	17002208	207	20	-
vf_5_31906	RNA	5	17002223	17002263	220	40	-
vf_5_31908	RNA	5	17002335	17002454	156	119	-
ef_5_31908	RNA	5	17002345	17002435	312	90	-
AT5G43460.1	protein_coding_gene	5	17459873	17461751	+	1879	2
vf_5_34755	RNA	5	17460779	17460787	234	8	-
vf_5_34764	RNA	5	17461394	17461433	178	39	-
AT5G44340.1	protein_coding_gene	5	17859195	17861101	-	1907	11
vf_5_37643	RNA	5	17859488	17859561	241	73	-
vf_5_37644	RNA	5	17859581	17859841	230	260	-
ef_5_37644	RNA	5	17859582	17859755	357	173	-
vf_5_37645	RNA	5	17859857	17859988	263	131	-
ef_5_37645	RNA	5	17859878	17859979	231	101	-
vf_5_37648	RNA	5	17860196	17860307	168	111	-
vf_5_37650	RNA	5	17860386	17860398	228	12	-
ef_5_37656	RNA	5	17860785	17860858	142	73	-
vf_5_37656	RNA	5	17860786	17860868	156	82	-
vf_5_37657	RNA	5	17860897	17860961	213	64	-
vf_5_37658	RNA	5	17860977	17860995	223	18	-
AT5G46020.1	protein_coding_gene	5	18662846	18664874	-	2029	2
vf_5_45630	RNA	5	18663559	18663576	384	17	-
vf_5_45631	RNA	5	18663732	18663753	260	21	-
AT5G47830.1	protein_coding_gene	5	19372898	19374331	-	1434	1
vf_5_50834	RNA	5	19374165	19374181	311	16	-
AT5G48810.1	protein_coding_gene	5	19789067	19790334	-	1268	1
vf_5_53844	RNA	5	19789463	19789471	379	8	-
AT5G51400.1	protein_coding_gene	5	20878613	20880134	-	1522	5
vf_5_61999	RNA	5	20878965	20878981	210	16	-
vf_5_62004	RNA	5	20879355	20879369	357	14	-
vf_5_62005	RNA	5	20879524	20879542	294	18	-
vf_5_62006	RNA	5	20879558	20879572	254	14	-
vf_5_62008	RNA	5	20879866	20879879	279	13	-
AT5G54390.1	protein_coding_gene	5	22085998	22088017	+	2020	10
vf_5_73396	RNA	5	22086802	22086835	346	33	-
vf_5_73397	RNA	5	22086871	22086879	388	8	-
ef_5_73398	RNA	5	22086900	22086988	151	88	-
vf_5_73398	RNA	5	22086922	22086939	483	17	-
vf_5_73399	RNA	5	22087019	22087032	185	13	-
vf_5_73400	RNA	5	22087051	22087061	386	10	-
vf_5_73403	RNA	5	22087299	22087364	200	65	-
vf_5_73404	RNA	5	22087401	22087448	225	47	-
vf_5_73405	RNA	5	22087466	22087492	321	26	-
vf_5_73406	RNA	5	22087551	22087562	203	11	-
AT5G55160.2	protein_coding_gene	5	22383560	22384925	-	1366	2
vf_5_75341	RNA	5	22383794	22383810	342	16	-
vf_5_75342	RNA	5	22383928	22383961	210	33	-
AT5G55260.1	protein_coding_gene	5	22416599	22418864	+	2266	8
vf_5_75580	RNA	5	22416810	22416850	152	40	-
vf_5_75581	RNA	5	22416862	22416946	227	84	-
vf_5_75583	RNA	5	22417357	22417458	238	101	-
vf_5_75584	RNA	5	22417578	22417619	256	41	-
vf_5_75585	RNA	5	22417726	22417773	173	47	-
vf_5_75589	RNA	5	22418052	22418318	251	266	-
vf_5_75590	RNA	5	22418414	22418485	204	71	-
vf_5_75592	RNA	5	22418569	22418618	200	49	-
AT5G56750.1	protein_coding_gene	5	22957877	22960916	+	3040	7
vf_5_79599	RNA	5	22959064	22959166	208	102	-
vf_5_79601	RNA	5	22959283	22959343	174	60	-
vf_5_79602	RNA	5	22959434	22959488	273	54	-
vf_5_79604	RNA	5	22959720	22959741	153	21	-
ef_5_79609	RNA	5	22960213	22960286	110	73	-
vf_5_79610	RNA	5	22960387	22960511	268	124	-
vf_5_79611	RNA	5	22960519	22960564	373	45	-
AT5G57490.1	protein_coding_gene	5	23283680	23285934	-	2255	3
vf_5_81984	RNA	5	23283900	23283916	217	16	-
vf_5_81994	RNA	5	23284575	23284592	206	17	-
vf_5_82001	RNA	5	23285322	23285334	155	12	-
AT5G59440.3	protein_coding_gene	5	23971231	23972924	+	1694	1
vf_5_87897	RNA	5	23972136	23972172	281	36	-
AT5G64180.1	protein_coding_gene	5	25677080	25678357	+	1278	2
ef_5_104371	RNA	5	25677865	25677980	136	115	-
vf_5_104372	RNA	5	25678071	25678090	159	19	-
AT5G64920.1	protein_coding_gene	5	25943888	25945442	-	1555	1
vf_5_106492	RNA	5	25944513	25944526	219	13	-
AT5G66380.1	protein_coding_gene	5	26513524	26515695	-	2172	5
vf_5_111124	RNA	5	26513930	26513940	156	10	-
vf_5_111127	RNA	5	26514369	26514401	167	32	-
vf_5_111130	RNA	5	26514768	26514788	166	20	-
vf_5_111133	RNA	5	26515159	26515170	206	11	-
vf_5_111137	RNA	5	26515428	26515507	237	79	-
AT5G67260.1	protein_coding_gene	5	26836148	26837811	+	1664	1
vf_5_113923	RNA	5	26836745	26836753	244	8	-
AT5G67380.1	protein_coding_gene	5	26880966	26883430	-	2465	6
vf_5_114360	RNA	5	26881174	26881186	174	12	-
vf_5_114362	RNA	5	26881314	26881379	181	65	-
vf_5_114364	RNA	5	26881513	26881529	317	16	-
vf_5_114366	RNA	5	26881812	26881875	151	63	-
vf_5_114368	RNA	5	26882161	26882281	255	120	-
vf_5_114372	RNA	5	26882667	26882686	293	19	-
